date,pm25,no2,aqi,year,month,season
2024-04-15,0.62625,4.99125,2.5,2024,4,Spring
2024-04-16,1.4658333333333333,14.235833333333334,2.0,2024,4,Spring
2024-04-17,1.1204166666666666,8.14875,2.0,2024,4,Spring
2024-04-18,1.82,10.728333333333333,1.9166666666666667,2024,4,Spring
2024-04-19,0.9404166666666667,6.604166666666667,2.0833333333333335,2024,4,Spring
2024-04-20,1.34875,10.105833333333333,1.9583333333333333,2024,4,Spring
2024-04-21,1.3608333333333331,6.797499999999999,2.0833333333333335,2024,4,Spring
2024-04-22,2.893333333333333,15.640833333333333,1.875,2024,4,Spring
2024-04-23,5.145416666666667,21.259583333333335,1.875,2024,4,Spring
2024-04-24,3.018333333333333,19.038333333333334,1.9583333333333333,2024,4,Spring
2024-04-25,7.180833333333333,34.60125,2.1666666666666665,2024,4,Spring
